#	Name:   Map from TRS-80 Model I (interchange) character set to Unicode
#	Date:   2018 April 20
#	Author: Rebecca Bettencourt <support@kreativekorp.com>

0x20	0x0020	# SPACE
0x55	0x0055	# LATIN CAPITAL LETTER U
0x56	0x0056	# LATIN CAPITAL LETTER V
0x57	0x0057	# LATIN CAPITAL LETTER W
0x58	0x0058	# LATIN CAPITAL LETTER X
0x59	0x0059	# LATIN CAPITAL LETTER Y
0x5A	0x005A	# LATIN CAPITAL LETTER Z
0x5B	0x2191	# UPWARDS ARROW
0x5C	0x2193	# DOWNWARDS ARROW
0x5D	0x2190	# LEFTWARDS ARROW
0x5E	0x2192	# RIGHTWARDS ARROW
0x5F	0x005F	# LOW LINE
0x60	0x0040	# COMMERCIAL AT
0x61	0x0041	# LATIN CAPITAL LETTER A
0x62	0x0042	# LATIN CAPITAL LETTER B
0x63	0x0043	# LATIN CAPITAL LETTER C
0x64	0x0044	# LATIN CAPITAL LETTER D
0x65	0x0045	# LATIN CAPITAL LETTER E
0x66	0x0046	# LATIN CAPITAL LETTER F
0x67	0x0047	# LATIN CAPITAL LETTER G
0x68	0x0048	# LATIN CAPITAL LETTER H
0x69	0x0049	# LATIN CAPITAL LETTER I
0x6A	0x004A	# LATIN CAPITAL LETTER J
0x6B	0x004B	# LATIN CAPITAL LETTER K
0x6C	0x004C	# LATIN CAPITAL LETTER L
0x6D	0x004D	# LATIN CAPITAL LETTER M
0x6E	0x004E	# LATIN CAPITAL LETTER N
0x6F	0x004F	# LATIN CAPITAL LETTER O
0x70	0x0050	# LATIN CAPITAL LETTER P
0x71	0x0051	# LATIN CAPITAL LETTER Q
0x72	0x0052	# LATIN CAPITAL LETTER R
0x73	0x0053	# LATIN CAPITAL LETTER S
0x74	0x0054	# LATIN CAPITAL LETTER T
0x75	0x0055	# LATIN CAPITAL LETTER U
0x76	0x0056	# LATIN CAPITAL LETTER V
0x77	0x0057	# LATIN CAPITAL LETTER W
0x78	0x0058	# LATIN CAPITAL LETTER X
0x79	0x0059	# LATIN CAPITAL LETTER Y
0x7A	0x005A	# LATIN CAPITAL LETTER Z
0x7B	0x2191	# UPWARDS ARROW
0x7C	0x2193	# DOWNWARDS ARROW
0x7D	0x2190	# LEFTWARDS ARROW
0x7E	0x2192	# RIGHTWARDS ARROW
0x7F	0x005F	# LOW LINE
0x80	0x00A0	# NO-BREAK SPACE; unification of EMPTY BLOCK SEXTANT
0x81	0x1FB00	# BLOCK SEXTANT-1
0x82	0x1FB01	# BLOCK SEXTANT-2
0x83	0x1FB02	# BLOCK SEXTANT-12
0x84	0x1FB03	# BLOCK SEXTANT-3
0x85	0x1FB04	# BLOCK SEXTANT-13
0x86	0x1FB05	# BLOCK SEXTANT-23
0x87	0x1FB06	# BLOCK SEXTANT-123
0x88	0x1FB07	# BLOCK SEXTANT-4
0x89	0x1FB08	# BLOCK SEXTANT-14
0x8A	0x1FB09	# BLOCK SEXTANT-24
0x8B	0x1FB0A	# BLOCK SEXTANT-124
0x8C	0x1FB0B	# BLOCK SEXTANT-34
0x8D	0x1FB0C	# BLOCK SEXTANT-134
0x8E	0x1FB0D	# BLOCK SEXTANT-234
0x8F	0x1FB0E	# BLOCK SEXTANT-1234
0x90	0x1FB0F	# BLOCK SEXTANT-5
0x91	0x1FB10	# BLOCK SEXTANT-15
0x92	0x1FB11	# BLOCK SEXTANT-25
0x93	0x1FB12	# BLOCK SEXTANT-125
0x94	0x1FB13	# BLOCK SEXTANT-35
0x95	0x258C	# LEFT HALF BLOCK; unification of BLOCK SEXTANT-135
0x96	0x1FB14	# BLOCK SEXTANT-235
0x97	0x1FB15	# BLOCK SEXTANT-1235
0x98	0x1FB16	# BLOCK SEXTANT-45
0x99	0x1FB17	# BLOCK SEXTANT-145
0x9A	0x1FB18	# BLOCK SEXTANT-245
0x9B	0x1FB19	# BLOCK SEXTANT-1245
0x9C	0x1FB1A	# BLOCK SEXTANT-345
0x9D	0x1FB1B	# BLOCK SEXTANT-1345
0x9E	0x1FB1C	# BLOCK SEXTANT-2345
0x9F	0x1FB1D	# BLOCK SEXTANT-12345
0xA0	0x1FB1E	# BLOCK SEXTANT-6
0xA1	0x1FB1F	# BLOCK SEXTANT-16
0xA2	0x1FB20	# BLOCK SEXTANT-26
0xA3	0x1FB21	# BLOCK SEXTANT-126
0xA4	0x1FB22	# BLOCK SEXTANT-36
0xA5	0x1FB23	# BLOCK SEXTANT-136
0xA6	0x1FB24	# BLOCK SEXTANT-236
0xA7	0x1FB25	# BLOCK SEXTANT-1236
0xA8	0x1FB26	# BLOCK SEXTANT-46
0xA9	0x1FB27	# BLOCK SEXTANT-146
0xAA	0x2590	# RIGHT HALF BLOCK; unification of BLOCK SEXTANT-246
0xAB	0x1FB28	# BLOCK SEXTANT-1246
0xAC	0x1FB29	# BLOCK SEXTANT-346
0xAD	0x1FB2A	# BLOCK SEXTANT-1346
0xAE	0x1FB2B	# BLOCK SEXTANT-2346
0xAF	0x1FB2C	# BLOCK SEXTANT-12346
0xB0	0x1FB2D	# BLOCK SEXTANT-56
0xB1	0x1FB2E	# BLOCK SEXTANT-156
0xB2	0x1FB2F	# BLOCK SEXTANT-256
0xB3	0x1FB30	# BLOCK SEXTANT-1256
0xB4	0x1FB31	# BLOCK SEXTANT-356
0xB5	0x1FB32	# BLOCK SEXTANT-1356
0xB6	0x1FB33	# BLOCK SEXTANT-2356
0xB7	0x1FB34	# BLOCK SEXTANT-12356
0xB8	0x1FB35	# BLOCK SEXTANT-456
0xB9	0x1FB36	# BLOCK SEXTANT-1456
0xBA	0x1FB37	# BLOCK SEXTANT-2456
0xBB	0x1FB38	# BLOCK SEXTANT-12456
0xBC	0x1FB39	# BLOCK SEXTANT-3456
0xBD	0x1FB3A	# BLOCK SEXTANT-13456
0xBE	0x1FB3B	# BLOCK SEXTANT-23456
0xBF	0x2588	# FULL BLOCK; unification of BLOCK SEXTANT-123456
