#	Name:   Map from TRS-80 Model 4a alternate (interchange) character set to Unicode
#	Date:   2018 April 20
#	Author: Rebecca Bettencourt <support@kreativekorp.com>

0x20	0x0020	# SPACE
0x55	0x0055	# LATIN CAPITAL LETTER U
0x56	0x0056	# LATIN CAPITAL LETTER V
0x57	0x0057	# LATIN CAPITAL LETTER W
0x58	0x0058	# LATIN CAPITAL LETTER X
0x59	0x0059	# LATIN CAPITAL LETTER Y
0x5A	0x005A	# LATIN CAPITAL LETTER Z
0x5B	0x005B	# LEFT SQUARE BRACKET
0x5C	0x005C	# REVERSE SOLIDUS
0x5D	0x005D	# RIGHT SQUARE BRACKET
0x5E	0x005E	# CIRCUMFLEX ACCENT
0x5F	0x005F	# LOW LINE
0x60	0x0060	# GRAVE ACCENT
0x61	0x0061	# LATIN SMALL LETTER A
0x62	0x0062	# LATIN SMALL LETTER B
0x63	0x0063	# LATIN SMALL LETTER C
0x64	0x0064	# LATIN SMALL LETTER D
0x65	0x0065	# LATIN SMALL LETTER E
0x66	0x0066	# LATIN SMALL LETTER F
0x67	0x0067	# LATIN SMALL LETTER G
0x68	0x0068	# LATIN SMALL LETTER H
0x69	0x0069	# LATIN SMALL LETTER I
0x6A	0x006A	# LATIN SMALL LETTER J
0x6B	0x006B	# LATIN SMALL LETTER K
0x6C	0x006C	# LATIN SMALL LETTER L
0x6D	0x006D	# LATIN SMALL LETTER M
0x6E	0x006E	# LATIN SMALL LETTER N
0x6F	0x006F	# LATIN SMALL LETTER O
0x70	0x0070	# LATIN SMALL LETTER P
0x71	0x0071	# LATIN SMALL LETTER Q
0x72	0x0072	# LATIN SMALL LETTER R
0x73	0x0073	# LATIN SMALL LETTER S
0x74	0x0074	# LATIN SMALL LETTER T
0x75	0x0075	# LATIN SMALL LETTER U
0x76	0x0076	# LATIN SMALL LETTER V
0x77	0x0077	# LATIN SMALL LETTER W
0x78	0x0078	# LATIN SMALL LETTER X
0x79	0x0079	# LATIN SMALL LETTER Y
0x7A	0x007A	# LATIN SMALL LETTER Z
0x7B	0x007B	# LEFT CURLY BRACKET
0x7C	0x00A6	# BROKEN BAR
0x7D	0x007D	# RIGHT CURLY BRACKET
0x7E	0x007E	# TILDE
0x7F	0x00B1	# PLUS-MINUS SIGN
0x80	0x00A0	# NO-BREAK SPACE; unification of EMPTY BLOCK SEXTANT
0x81	0x1FB00	# BLOCK SEXTANT-1
0x82	0x1FB01	# BLOCK SEXTANT-2
0x83	0x1FB02	# BLOCK SEXTANT-12
0x84	0x1FB03	# BLOCK SEXTANT-3
0x85	0x1FB04	# BLOCK SEXTANT-13
0x86	0x1FB05	# BLOCK SEXTANT-23
0x87	0x1FB06	# BLOCK SEXTANT-123
0x88	0x1FB07	# BLOCK SEXTANT-4
0x89	0x1FB08	# BLOCK SEXTANT-14
0x8A	0x1FB09	# BLOCK SEXTANT-24
0x8B	0x1FB0A	# BLOCK SEXTANT-124
0x8C	0x1FB0B	# BLOCK SEXTANT-34
0x8D	0x1FB0C	# BLOCK SEXTANT-134
0x8E	0x1FB0D	# BLOCK SEXTANT-234
0x8F	0x1FB0E	# BLOCK SEXTANT-1234
0x90	0x1FB0F	# BLOCK SEXTANT-5
0x91	0x1FB10	# BLOCK SEXTANT-15
0x92	0x1FB11	# BLOCK SEXTANT-25
0x93	0x1FB12	# BLOCK SEXTANT-125
0x94	0x1FB13	# BLOCK SEXTANT-35
0x95	0x258C	# LEFT HALF BLOCK; unification of BLOCK SEXTANT-135
0x96	0x1FB14	# BLOCK SEXTANT-235
0x97	0x1FB15	# BLOCK SEXTANT-1235
0x98	0x1FB16	# BLOCK SEXTANT-45
0x99	0x1FB17	# BLOCK SEXTANT-145
0x9A	0x1FB18	# BLOCK SEXTANT-245
0x9B	0x1FB19	# BLOCK SEXTANT-1245
0x9C	0x1FB1A	# BLOCK SEXTANT-345
0x9D	0x1FB1B	# BLOCK SEXTANT-1345
0x9E	0x1FB1C	# BLOCK SEXTANT-2345
0x9F	0x1FB1D	# BLOCK SEXTANT-12345
0xA0	0x1FB1E	# BLOCK SEXTANT-6
0xA1	0x1FB1F	# BLOCK SEXTANT-16
0xA2	0x1FB20	# BLOCK SEXTANT-26
0xA3	0x1FB21	# BLOCK SEXTANT-126
0xA4	0x1FB22	# BLOCK SEXTANT-36
0xA5	0x1FB23	# BLOCK SEXTANT-136
0xA6	0x1FB24	# BLOCK SEXTANT-236
0xA7	0x1FB25	# BLOCK SEXTANT-1236
0xA8	0x1FB26	# BLOCK SEXTANT-46
0xA9	0x1FB27	# BLOCK SEXTANT-146
0xAA	0x2590	# RIGHT HALF BLOCK; unification of BLOCK SEXTANT-246
0xAB	0x1FB28	# BLOCK SEXTANT-1246
0xAC	0x1FB29	# BLOCK SEXTANT-346
0xAD	0x1FB2A	# BLOCK SEXTANT-1346
0xAE	0x1FB2B	# BLOCK SEXTANT-2346
0xAF	0x1FB2C	# BLOCK SEXTANT-12346
0xB0	0x1FB2D	# BLOCK SEXTANT-56
0xB1	0x1FB2E	# BLOCK SEXTANT-156
0xB2	0x1FB2F	# BLOCK SEXTANT-256
0xB3	0x1FB30	# BLOCK SEXTANT-1256
0xB4	0x1FB31	# BLOCK SEXTANT-356
0xB5	0x1FB32	# BLOCK SEXTANT-1356
0xB6	0x1FB33	# BLOCK SEXTANT-2356
0xB7	0x1FB34	# BLOCK SEXTANT-12356
0xB8	0x1FB35	# BLOCK SEXTANT-456
0xB9	0x1FB36	# BLOCK SEXTANT-1456
0xBA	0x1FB37	# BLOCK SEXTANT-2456
0xBB	0x1FB38	# BLOCK SEXTANT-12456
0xBC	0x1FB39	# BLOCK SEXTANT-3456
0xBD	0x1FB3A	# BLOCK SEXTANT-13456
0xBE	0x1FB3B	# BLOCK SEXTANT-23456
0xBF	0x2588	# FULL BLOCK; unification of BLOCK SEXTANT-123456
0xC0	0x02CA	# MODIFIER LETTER ACUTE ACCENT
0xC1	0x00E0	# LATIN SMALL LETTER A WITH GRAVE
0xC2	0x00E7	# LATIN SMALL LETTER C WITH CEDILLA
0xC3	0x00A3	# POUND SIGN
0xC4	0x02CB	# MODIFIER LETTER GRAVE ACCENT
0xC5	0x00B5	# MICRO SIGN
0xC6	0x00B0	# DEGREE SIGN
0xC7	0x02DA	# RING ABOVE
0xC8	0x2020	# DAGGER
0xC9	0x00A7	# SECTION SIGN
0xCA	0x00AE	# REGISTERED SIGN
0xCB	0x00A9	# COPYRIGHT SIGN
0xCC	0x00BC	# VULGAR FRACTION ONE QUARTER
0xCD	0x00BE	# VULGAR FRACTION THREE QUARTERS
0xCE	0x00BD	# VULGAR FRACTION ONE HALF
0xCF	0x00B6	# PILCROW SIGN
0xD0	0x00A5	# YEN SIGN
0xD1	0x00C4	# LATIN CAPITAL LETTER A WITH DIAERESIS
0xD2	0x00D6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0xD3	0x00DC	# LATIN CAPITAL LETTER U WITH DIAERESIS
0xD4	0x00A2	# CENT SIGN
0xD5	0x02DC	# SMALL TILDE
0xD6	0x00E4	# LATIN SMALL LETTER A WITH DIAERESIS
0xD7	0x00F6	# LATIN SMALL LETTER O WITH DIAERESIS
0xD8	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0xD9	0x00DF	# LATIN SMALL LETTER SHARP S
0xDA	0x2122	# TRADE MARK SIGN
0xDB	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0xDC	0x00F9	# LATIN SMALL LETTER U WITH GRAVE
0xDD	0x00E8	# LATIN SMALL LETTER E WITH GRAVE
0xDE	0x00A8	# DIAERESIS
0xDF	0x0192	# LATIN SMALL LETTER F WITH HOOK
0xE0	0x00E2	# LATIN SMALL LETTER A WITH CIRCUMFLEX
0xE1	0x00EA	# LATIN SMALL LETTER E WITH CIRCUMFLEX
0xE2	0x00EE	# LATIN SMALL LETTER I WITH CIRCUMFLEX
0xE3	0x00F4	# LATIN SMALL LETTER O WITH CIRCUMFLEX
0xE4	0x00FB	# LATIN SMALL LETTER U WITH CIRCUMFLEX
0xE5	0x02C6	# MODIFIER LETTER CIRCUMFLEX ACCENT
0xE6	0x00EB	# LATIN SMALL LETTER E WITH DIAERESIS
0xE7	0x00EF	# LATIN SMALL LETTER I WITH DIAERESIS
0xE8	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
0xE9	0x00ED	# LATIN SMALL LETTER I WITH ACUTE
0xEA	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
0xEB	0x00FA	# LATIN SMALL LETTER U WITH ACUTE
0xEC	0x00A1	# INVERTED EXCLAMATION MARK
0xED	0x00F1	# LATIN SMALL LETTER N WITH TILDE
0xEE	0x00E3	# LATIN SMALL LETTER A WITH TILDE
0xEF	0x00F5	# LATIN SMALL LETTER O WITH TILDE
0xF0	0x00C6	# LATIN CAPITAL LETTER AE
0xF1	0x00E6	# LATIN SMALL LETTER AE
0xF2	0x00C5	# LATIN CAPITAL LETTER A WITH RING ABOVE
0xF3	0x00E5	# LATIN SMALL LETTER A WITH RING ABOVE
0xF4	0x00D8	# LATIN CAPITAL LETTER O WITH STROKE
0xF5	0x00F8	# LATIN SMALL LETTER O WITH STROKE
0xF6	0x00D1	# LATIN CAPITAL LETTER N WITH TILDE
0xF7	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0xF8	0x00C1	# LATIN CAPITAL LETTER A WITH ACUTE
0xF9	0x00CD	# LATIN CAPITAL LETTER I WITH ACUTE
0xFA	0x00D3	# LATIN CAPITAL LETTER O WITH ACUTE
0xFB	0x00DA	# LATIN CAPITAL LETTER U WITH ACUTE
0xFC	0x00BF	# INVERTED QUESTION MARK
0xFD	0x00D9	# LATIN CAPITAL LETTER U WITH GRAVE
0xFE	0x00C8	# LATIN CAPITAL LETTER E WITH GRAVE
0xFF	0x00C0	# LATIN CAPITAL LETTER A WITH GRAVE
