#=======================================================================
#    FTP file name:   GEORGIAN.TXT
#
#    Name:            Mac OS Georgian to Unicode table
#    Unicode version: 3.x
#    Table version:   1.01
#    Table format:    Format A
#    Date:            2002-02-20
#    Author:          Michael Everson <everson@evertype.com>
#
#    General notes:
#
#    This table provides a mapping for the Mac OS Georgian encoding 
#    to Unicode 3.x. 
#
# Format:
# -------
#
#   Three tab-separated columns;
#   '#' begins a comment which continues to the end of the line.
#     Column #1 is the Mac OS Georgian code (in hex as 0xNN)
#     Column #2 is the corresponding Unicode (in hex as 0xNNNN)
#     Column #3 is a comment containing the Unicode name
#
#   The entries are in Mac OS Georgian code order.
#
#   Control character mappings are not shown in this table, following
#   the conventions of the standard UTC mapping tables. However, the
#   Mac OS Georgian character set uses the standard control characters
#   at 0x00-0x1F and 0x7F.
#
# Notes on Mac OS Georgian:
# ----------------------
#
#   Fonts and software conforming to the Mac OS Georgian character
#   set are available from Everson Typography
#   (http://www.evertype.com/software/apple).
#
#   The Mac OS Georgian encoding uses the script code smGeorgian
#   (23).
#
#   The Mac OS Georgian encoding also includes a number of characters
#   needed for the Mac OS user interface and localization (e.g.
#   ellipsis, bullet, copyright sign). All of the characters in Mac OS
#   Georgian that are also in the Mac OS Roman encoding are at the
#   same code point in both; this improves application compatibility.
#
#   In all Mac OS encodings, fonts such as Chicago which are used
#   as "system" fonts (for menus, dialogs, etc.) have four glyphs
#   at code points 0x11-0x14 for transient use by the Menu Manager.
#   These glyphs are not intended as characters for use in normal
#   text, and the associated code points are not generally
#   interpreted as associated with these glyphs; they are usually
#   interpreted (if at all) as the control codes DC1-DC4.
#
##################

0x20	0x0020	# SPACE
0x48	0x0048	# LATIN CAPITAL LETTER H
0x49	0x0049	# LATIN CAPITAL LETTER I
0x4A	0x004A	# LATIN CAPITAL LETTER J
0x4B	0x004B	# LATIN CAPITAL LETTER K
0x4C	0x004C	# LATIN CAPITAL LETTER L
0x4D	0x004D	# LATIN CAPITAL LETTER M
0x4E	0x004E	# LATIN CAPITAL LETTER N
0x4F	0x004F	# LATIN CAPITAL LETTER O
0x50	0x0050	# LATIN CAPITAL LETTER P
0x51	0x0051	# LATIN CAPITAL LETTER Q
0x52	0x0052	# LATIN CAPITAL LETTER R
0x53	0x0053	# LATIN CAPITAL LETTER S
0x54	0x0054	# LATIN CAPITAL LETTER T
0x55	0x0055	# LATIN CAPITAL LETTER U
0x56	0x0056	# LATIN CAPITAL LETTER V
0x57	0x0057	# LATIN CAPITAL LETTER W
0x58	0x0058	# LATIN CAPITAL LETTER X
0x59	0x0059	# LATIN CAPITAL LETTER Y
0x5A	0x005A	# LATIN CAPITAL LETTER Z
0x5B	0x005B	# LEFT SQUARE BRACKET
0x5C	0x005C	# REVERSE SOLIDUS
0x5D	0x005D	# RIGHT SQUARE BRACKET
0x5E	0x005E	# CIRCUMFLEX ACCENT
0x5F	0x005F	# LOW LINE
0x60	0x0060	# GRAVE ACCENT
0x61	0x0061	# LATIN SMALL LETTER A
0x62	0x0062	# LATIN SMALL LETTER B
0x63	0x0063	# LATIN SMALL LETTER C
0x64	0x0064	# LATIN SMALL LETTER D
0x65	0x0065	# LATIN SMALL LETTER E
0x66	0x0066	# LATIN SMALL LETTER F
0x67	0x0067	# LATIN SMALL LETTER G
0x68	0x0068	# LATIN SMALL LETTER H
0x69	0x0069	# LATIN SMALL LETTER I
0x6A	0x006A	# LATIN SMALL LETTER J
0x6B	0x006B	# LATIN SMALL LETTER K
0x6C	0x006C	# LATIN SMALL LETTER L
0x6D	0x006D	# LATIN SMALL LETTER M
0x6E	0x006E	# LATIN SMALL LETTER N
0x6F	0x006F	# LATIN SMALL LETTER O
0x70	0x0070	# LATIN SMALL LETTER P
0x71	0x0071	# LATIN SMALL LETTER Q
0x72	0x0072	# LATIN SMALL LETTER R
0x73	0x0073	# LATIN SMALL LETTER S
0x74	0x0074	# LATIN SMALL LETTER T
0x75	0x0075	# LATIN SMALL LETTER U
0x76	0x0076	# LATIN SMALL LETTER V
0x77	0x0077	# LATIN SMALL LETTER W
0x78	0x0078	# LATIN SMALL LETTER X
0x79	0x0079	# LATIN SMALL LETTER Y
0x7A	0x007A	# LATIN SMALL LETTER Z
0x7B	0x007B	# LEFT CURLY BRACKET
0x7C	0x007C	# VERTICAL LINE
0x7D	0x007D	# RIGHT CURLY BRACKET
0x7E	0x007E	# TILDE
#
0x80 0x10A0 # GEORGIAN CAPITAL LETTER AN
0x81 0x10A1 # GEORGIAN CAPITAL LETTER BAN
0x82 0x10A2 # GEORGIAN CAPITAL LETTER GAN
0x83 0x10A3 # GEORGIAN CAPITAL LETTER DON
0x84 0x10A4 # GEORGIAN CAPITAL LETTER EN
0x85 0x10A5 # GEORGIAN CAPITAL LETTER VIN
0x86 0x10A6 # GEORGIAN CAPITAL LETTER ZEN
0x87 0x10A7 # GEORGIAN CAPITAL LETTER TAN
0x88 0x10A8 # GEORGIAN CAPITAL LETTER IN
0x89 0x10A9 # GEORGIAN CAPITAL LETTER KAN
0x8A 0x10AA # GEORGIAN CAPITAL LETTER LAS
0x8B 0x10AB # GEORGIAN CAPITAL LETTER MAN
0x8C 0x10AC # GEORGIAN CAPITAL LETTER NAR
0x8D 0x10AD # GEORGIAN CAPITAL LETTER ON
0x8E 0x10AE # GEORGIAN CAPITAL LETTER PAR
0x8F 0x10AF # GEORGIAN CAPITAL LETTER ZHAR
0x90 0x10B0 # GEORGIAN CAPITAL LETTER RAE
0x91 0x10B1 # GEORGIAN CAPITAL LETTER SAN
0x92 0x10B2 # GEORGIAN CAPITAL LETTER TAR
0x93 0x10B3 # GEORGIAN CAPITAL LETTER UN
0x94 0x10B4 # GEORGIAN CAPITAL LETTER PHAR
0x95 0x10B5 # GEORGIAN CAPITAL LETTER KHAR
0x96 0x10B6 # GEORGIAN CAPITAL LETTER GHAN
0x97 0x10B7 # GEORGIAN CAPITAL LETTER QAR
0x98 0x10B8 # GEORGIAN CAPITAL LETTER SHIN
0x99 0x10B9 # GEORGIAN CAPITAL LETTER CHIN
0x9A 0x10BA # GEORGIAN CAPITAL LETTER CAN
0x9B 0x10BB # GEORGIAN CAPITAL LETTER JIL
0x9C 0x10BC # GEORGIAN CAPITAL LETTER CIL
0x9D 0x10BD # GEORGIAN CAPITAL LETTER CHAR
0x9E 0x10BE # GEORGIAN CAPITAL LETTER XAN
0x9F 0x10BF # GEORGIAN CAPITAL LETTER JHAN
0xA0	0x2020	# DAGGER
0xA1	0x00B0	# DEGREE SIGN
0xA2	0x00A2	# CENT SIGN
0xA3	0x00A3	# POUND SIGN
0xA4	0x00A7	# SECTION SIGN
0xA5	0x2022	# BULLET
0xA6	0x00B6	# PILCROW SIGN
0xA7	0x0323	# COMBINING DOT BELOW
0xA8	0x00AE	# REGISTERED SIGN
0xA9	0x00A9	# COPYRIGHT SIGN
0xAA	0x2122	# TRADE MARK SIGN
0xAB	0x0301	# COMBINING ACUTE ACCENT
0xAC	0x0308	# COMBINING DIAERESIS
0xAD	0x2260	# NOT EQUAL TO
0xAE	0x10C1	# GEORGIAN CAPITAL LETTER HE
0xAF	0x10C2	# GEORGIAN CAPITAL LETTER HIE
0xB0	0x221E	# INFINITY
0xB1	0x00B1	# PLUS-MINUS SIGN
0xB2	0x2264	# LESS-THAN OR EQUAL TO
0xB3	0x2265	# GREATER-THAN OR EQUAL TO
0xB4	0x00A5	# YEN SIGN
0xB5	0x00B5	# MICRO SIGN
0xB6	0x2202	# PARTIAL DIFFERENTIAL
0xB7	0x2211	# N-ARY SUMMATION
0xB8	0x10C5	# GEORGIAN CAPITAL LETTER HOE
0xB9	0x10F5	# GEORGIAN LETTER HOE
0xBA	0x222B	# INTEGRAL
0xBB	0x10F6	# GEORGIAN LETTER FI
0xBC	0x10F8	# GEORGIAN LETTER ELIFI
0xBD	0x10F7	# GEORGIAN LETTER YN
0xBE	0x10F1	# GEORGIAN LETTER HE
0xBF	0x10F2	# GEORGIAN LETTER HIE
0xC0	0x0306	# COMBINING BREVE
0xC1	0x0304	# COMBINING MACRON
0xC2	0x00AC	# NOT SIGN
0xC3	0x221A	# SQUARE ROOT
0xC4	0x0192	# LATIN SMALL LETTER F WITH HOOK
0xC5	0x2248	# ALMOST EQUAL TO
0xC6	0x2206	# INCREMENT
0xC7	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xC8	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xC9	0x2026	# HORIZONTAL ELLIPSIS
0xCA	0x00A0	# NO-BREAK SPACE
0xCB	0x10C0	# GEORGIAN CAPITAL LETTER HAE
0xCC	0x10F0	# GEORGIAN LETTER HAE
0xCD	0x10FB	# GEORGIAN PARAGRAPH SEPARATOR
0xCE	0x10C3	# GEORGIAN CAPITAL LETTER WE
0xCF	0x10F3	# GEORGIAN LETTER WE
0xD0	0x2013	# EN DASH
0xD1	0x2014	# EM DASH
0xD2	0x201C	# LEFT DOUBLE QUOTATION MARK
0xD3	0x201D	# RIGHT DOUBLE QUOTATION MARK
0xD4	0x2018	# LEFT SINGLE QUOTATION MARK
0xD5	0x2019	# RIGHT SINGLE QUOTATION MARK
0xD6	0x00F7	# DIVISION SIGN
0xD7	0x201E	# DOUBLE LOW-9 QUOTATION MARK
0xD8	0x10C4	# GEORGIAN CAPITAL LETTER HAR
0xD9	0x10F4	# GEORGIAN LETTER HAR
0xDA	0x2044	# FRACTION SLASH
0xDB	0x20AC	# EURO SIGN
0xDC	0x2039	# SINGLE LEFT-POINTING ANGLE QUOTATION MARK
0xDD	0x203A	# SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
0xDE	0x2116	# NUMERO SIGN
0xDF	0x10EF	# GEORGIAN LETTER JHAN
0xE0 0x10D0 # GEORGIAN LETTER AN
0xE1 0x10D1 # GEORGIAN LETTER BAN
0xE2 0x10D2 # GEORGIAN LETTER GAN
0xE3 0x10D3 # GEORGIAN LETTER DON
0xE4 0x10D4 # GEORGIAN LETTER EN
0xE5 0x10D5 # GEORGIAN LETTER VIN
0xE6 0x10D6 # GEORGIAN LETTER ZEN
0xE7 0x10D7 # GEORGIAN LETTER TAN
0xE8 0x10D8 # GEORGIAN LETTER IN
0xE9 0x10D9 # GEORGIAN LETTER KAN
0xEA 0x10DA # GEORGIAN LETTER LAS
0xEB 0x10DB # GEORGIAN LETTER MAN
0xEC 0x10DC # GEORGIAN LETTER NAR
0xED 0x10DD # GEORGIAN LETTER ON
0xEE 0x10DE # GEORGIAN LETTER PAR
0xEF 0x10DF # GEORGIAN LETTER ZHAR
0xF0 0x10E0 # GEORGIAN LETTER RAE
0xF1 0x10E1 # GEORGIAN LETTER SAN
0xF2 0x10E2 # GEORGIAN LETTER TAR
0xF3 0x10E3 # GEORGIAN LETTER UN
0xF4 0x10E4 # GEORGIAN LETTER PHAR
0xF5 0x10E5 # GEORGIAN LETTER KHAR
0xF6 0x10E6 # GEORGIAN LETTER GHAN
0xF7 0x10E7 # GEORGIAN LETTER QAR
0xF8 0x10E8 # GEORGIAN LETTER SHIN
0xF9 0x10E9 # GEORGIAN LETTER CHIN
0xFA 0x10EA # GEORGIAN LETTER CAN
0xFB 0x10EB # GEORGIAN LETTER JIL
0xFC 0x10EC # GEORGIAN LETTER CIL
0xFD 0x10ED # GEORGIAN LETTER CHAR
0xFE 0x10EE # GEORGIAN LETTER XAN
0xFF	0x0589	# ARMENIAN FULL STOP
