#	Name:   Map from Sinclair QL character set to Unicode
#	Date:   2018 May 5
#	Author: Rebecca Bettencourt <support@kreativekorp.com>

# The mappings to MODIFIER LETTER SMALL [A-F] here should actually be CAPITAL,
# but *MODIFIER LETTER CAPITAL C and *MODIFIER LETTER CAPITAL F do not exist.

0x00	0x0000	# NULL
0x98	0x00F4	# LATIN SMALL LETTER O WITH CIRCUMFLEX
0x99	0x00FA	# LATIN SMALL LETTER U WITH ACUTE
0x9A	0x00F9	# LATIN SMALL LETTER U WITH GRAVE
0x9B	0x00FB	# LATIN SMALL LETTER U WITH CIRCUMFLEX
0x9C	0x00DF	# LATIN SMALL LETTER SHARP S
0x9D	0x00A2	# CENT SIGN
0x9E	0x00A5	# YEN SIGN
0x9F	0x0060	# GRAVE ACCENT
0xA0	0x00C4	# LATIN CAPITAL LETTER A WITH DIAERESIS
0xA1	0x00C3	# LATIN CAPITAL LETTER A WITH TILDE
0xA2	0x00C5	# LATIN CAPITAL LETTER A WITH RING ABOVE
0xA3	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0xA4	0x00D6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0xA5	0x00D5	# LATIN CAPITAL LETTER O WITH TILDE
0xA6	0x00D8	# LATIN CAPITAL LETTER O WITH STROKE
0xA7	0x00DC	# LATIN CAPITAL LETTER U WITH DIAERESIS
0xA8	0x00C7	# LATIN CAPITAL LETTER C WITH CEDILLA
0xA9	0x00D1	# LATIN CAPITAL LETTER N WITH TILDE
0xAA	0x00C6	# LATIN CAPITAL LETTER AE
0xAB	0x0152	# LATIN CAPITAL LIGATURE OE
0xAC	0x03B1	# GREEK SMALL LETTER ALPHA
0xAD	0x03B4	# GREEK SMALL LETTER DELTA
0xAE	0x03B8	# GREEK SMALL LETTER THETA
0xAF	0x03BB	# GREEK SMALL LETTER LAMDA
0xB0	0x03BC	# GREEK SMALL LETTER MU
0xB1	0x03C0	# GREEK SMALL LETTER PI
0xB2	0x03D5	# GREEK PHI SYMBOL
0xB3	0x00A1	# INVERTED EXCLAMATION MARK
0xB4	0x00BF	# INVERTED QUESTION MARK
0xB5	0x0051+0x032C	# LATIN CAPITAL LETTER Q WITH CARON BELOW (!?)
0xB6	0x00A7	# SECTION SIGN
0xB7	0x00A4	# CURRENCY SIGN
0xB8	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xB9	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xBA	0x00B0	# DEGREE SIGN
0xBB	0x00F7	# DIVISION SIGN
0xBC	0x2190	# LEFTWARDS ARROW
0xBD	0x2192	# RIGHTWARDS ARROW
0xBE	0x2191	# UPWARDS ARROW
0xBF	0x2193	# DOWNWARDS ARROW
0xC0	0x2196	# NORTH WEST ARROW
0xC1	0x2197	# NORTH EAST ARROW
0xC2	0x2199	# SOUTH WEST ARROW
0xC3	0x2198	# SOUTH EAST ARROW
0xC4	0x0394	# GREEK CAPITAL LETTER DELTA
0xC5	0x03B7	# GREEK SMALL LETTER ETA
0xC6	0x03A6	# GREEK CAPITAL LETTER PHI
0xC7	0x0393	# GREEK CAPITAL LETTER GAMMA
0xC8	0x2660	# BLACK SPADE SUIT
0xC9	0x2665	# BLACK HEART SUIT
0xCA	0x2666	# BLACK DIAMOND SUIT
0xCB	0x2663	# BLACK CLUB SUIT
0xCC	0x039B	# GREEK CAPITAL LETTER LAMDA
0xCD	0x2207	# NABLA
0xCE	0x221E	# INFINITY
0xCF	0x03A9	# GREEK CAPITAL LETTER OMEGA
0xD0	0x03A0	# GREEK CAPITAL LETTER PI
0xD1	0x03A8	# GREEK CAPITAL LETTER PSI
0xD2	0x00AE	# REGISTERED SIGN
0xD3	0x03A3	# GREEK CAPITAL LETTER SIGMA
0xD4	0x0398	# GREEK CAPITAL LETTER THETA
0xD5	0x03A5	# GREEK CAPITAL LETTER UPSILON
0xD6	0x2020	# DAGGER
0xD7	0x2021	# DOUBLE DAGGER
0xD8	0x039E	# GREEK CAPITAL LETTER XI
0xD9	0x00B1	# PLUS-MINUS SIGN
0xDA	0x03C2	# GREEK SMALL LETTER FINAL SIGMA
0xDB	0x2261	# IDENTICAL TO
0xDC	0x2264	# LESS-THAN OR EQUAL TO
0xDD	0x2260	# NOT EQUAL TO
0xDE	0x2265	# GREATER-THAN OR EQUAL TO
0xDF	0x2248	# ALMOST EQUAL TO
0xE0	0x25A1	# WHITE SQUARE
0xE1	0x25A0	# BLACK SQUARE
0xE2	0x25CF	# BLACK CIRCLE
0xE3	0x03C7	# GREEK SMALL LETTER CHI
0xE4	0x2202	# PARTIAL DIFFERENTIAL
0xE5	0x03B5	# GREEK SMALL LETTER EPSILON
0xE6	0x20A3	# FRENCH FRANC SIGN
0xE7	0x03B3	# GREEK SMALL LETTER GAMMA
0xE8	0x0127	# LATIN SMALL LETTER H WITH STROKE
0xE9	0x03B9	# GREEK SMALL LETTER IOTA
0xEA	0x00A6	# BROKEN BAR
0xEB	0x03BA	# GREEK SMALL LETTER KAPPA
0xEC	0x00BC	# VULGAR FRACTION ONE QUARTER
0xED	0x00BD	# VULGAR FRACTION ONE HALF
0xEE	0x00BE	# VULGAR FRACTION THREE QUARTERS
0xEF	0x03C9	# GREEK SMALL LETTER OMEGA
0xF0	0x03C8	# GREEK SMALL LETTER PSI
0xF1	0x21D2	# RIGHTWARDS DOUBLE ARROW
0xF2	0x03C1	# GREEK SMALL LETTER RHO
0xF3	0x03C3	# GREEK SMALL LETTER SIGMA
0xF4	0x03C4	# GREEK SMALL LETTER TAU
0xF5	0x03C5	# GREEK SMALL LETTER UPSILON
0xF6	0x221A	# SQUARE ROOT
0xF7	0x221B	# CUBE ROOT
0xF8	0x03BE	# GREEK SMALL LETTER XI
0xF9	0x2026	# HORIZONTAL ELLIPSIS
0xFA	0x03B6	# GREEK SMALL LETTER ZETA
0xFB	0x2320	# TOP HALF INTEGRAL
0xFC	0x23AE	# INTEGRAL EXTENSION
0xFD	0x2321	# BOTTOM HALF INTEGRAL
0xFE	0x2591	# LIGHT SHADE
0xFF	0x2592	# MEDIUM SHADE
